Player,Team,Position,Inning,TZR,RngR,DPR,ARM,ErrR,位置補正,Framing,Blocking,
末包 昇大,広,LF,10.0,-0.2,-0.5,-,0.4,0.0,-0.1,-,-,
末包 昇大,広,RF,85.3,0.1,-0.1,-,0.2,0.0,-0.3,-,-,
大山 悠輔,神,1B,119.0,-0.4,-0.1,0.0,-,-0.3,-1.3,-,-,
若林 晃弘,日,1B,4.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
若林 晃弘,日,2B,8.0,-1.1,-0.1,-0.3,-,-0.7,0.0,-,-,
野口 智哉,オ,SS,16.0,0.4,0.2,0.1,-,0.1,0.1,-,-,
野口 智哉,オ,DH,1.0,-,-,-,-,-,0.0,-,-,
山本 恵大,ソ,DH,2.0,-,-,-,-,-,0.0,-,-,
ヘルナンデス,巨,LF,8.0,0.6,0.3,-,0.3,0.0,-0.1,-,-,
ヘルナンデス,巨,CF,114.0,0.6,1.5,-,-1.0,0.1,0.4,-,-,
京田 陽太,デ,1B,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
京田 陽太,デ,3B,6.0,0.4,0.4,-0.1,-,0.1,0.0,-,-,
秋山 翔吾,広,CF,22.0,-0.4,-0.1,-,-0.3,0.0,0.1,-,-,
浅村 栄斗,楽,1B,110.7,0.5,0.3,0.0,-,0.2,-1.2,-,-,
正木 智也,ソ,LF,69.0,1.4,0.8,-,0.6,0.0,-0.7,-,-,
正木 智也,ソ,RF,43.0,0.7,0.5,-,0.2,0.0,-0.2,-,-,
佐藤 都志也,ロ,C,69.0,-0.9,-,-,-0.8,-0.1,1.0,1.0,0.0,
佐藤 都志也,ロ,1B,9.0,-0.5,-0.5,0.0,-,0.0,-0.1,-,-,
マルティネス,日,1B,17.0,0.2,0.1,0.0,-,0.1,-0.2,-,-,
マルティネス,日,DH,9.0,-,-,-,-,-,-0.1,-,-,
山田 哲人,ヤ,2B,61.0,0.5,1.0,0.1,-,-0.5,0.2,-,-,
ファビアン,広,LF,114.3,1.0,1.5,-,-0.5,0.0,-1.1,-,-,
頓宮 裕真,オ,1B,109.0,0.2,0.4,0.0,-,-0.2,-1.2,-,-,
甲斐 拓也,巨,C,118.3,-0.4,-,-,-0.6,0.3,1.7,1.5,0.4,
並木 秀尊,ヤ,CF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
戸柱 恭孝,デ,C,21.0,-0.4,-,-,-0.2,-0.2,0.3,0.4,0.1,
前川 右京,神,LF,97.0,-4.6,-4.1,-,-0.5,0.0,-0.9,-,-,
ボスラー,中,1B,14.0,-0.4,-0.5,0.0,-,0.1,-0.2,-,-,
度会 隆輝,デ,RF,16.0,0.2,0.5,-,-0.3,0.0,-0.1,-,-,
中田 翔,中,1B,57.0,0.4,0.2,0.0,-,0.3,-0.6,-,-,
外崎 修汰,西,3B,104.7,-1.7,0.0,-0.3,-,-1.4,-0.4,-,-,
武藤 敦貴,楽,LF,31.7,2.4,0.8,-,1.6,0.0,-0.3,-,-,
武藤 敦貴,楽,RF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
濱田 太貴,ヤ,LF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
濱田 太貴,ヤ,RF,31.0,0.0,0.0,-,0.1,0.0,-0.1,-,-,
松尾 汐恩,デ,C,15.3,0.0,-,-,-0.1,0.1,0.2,-0.9,0.0,
山本 祐大,デ,C,76.7,0.4,-,-,0.3,0.1,1.1,0.5,0.0,
井上 広大,神,LF,9.0,-1.5,-1.6,-,0.1,0.0,-0.1,-,-,
菊池 涼介,広,2B,119.3,-1.1,-0.4,-0.3,-,-0.4,0.3,-,-,
小幡 竜平,神,SS,22.0,2.3,2.0,0.1,-,0.2,0.2,-,-,
中村 奨吾,ロ,2B,18.0,-1.3,-1.4,0.1,-,0.0,0.0,-,-,
中村 奨吾,ロ,3B,30.0,0.9,0.6,0.0,-,0.3,-0.1,-,-,
牧野 翔矢,西,C,16.0,-0.4,-,-,-0.2,-0.2,0.2,-0.8,0.2,
野村 大樹,西,2B,29.0,-0.6,-0.5,-0.2,-,0.1,0.1,-,-,
野村 大樹,西,3B,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
炭谷 銀仁朗,西,C,11.0,0.0,-,-,0.0,0.0,0.2,-0.6,0.0,
島田 海吏,神,LF,13.0,-1.1,-1.1,-,0.0,0.0,-0.1,-,-,
西野 真弘,オ,3B,40.0,-0.1,0.3,-0.2,-,-0.2,-0.2,-,-,
木浪 聖也,神,3B,9.0,-0.8,-0.9,0.0,-,0.1,0.0,-,-,
木浪 聖也,神,SS,97.0,2.5,1.8,0.2,-,0.5,0.8,-,-,
中村 奨成,広,LF,3.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
柳町 達,ソ,RF,28.0,0.4,0.3,-,0.1,0.0,-0.1,-,-,
田村 龍弘,ロ,C,27.0,0.1,-,-,0.1,0.0,0.4,0.3,0.0,
高橋 周平,中,3B,9.0,0.2,0.1,0.0,-,0.1,0.0,-,-,
ディアス,オ,DH,9.0,-,-,-,-,-,-0.1,-,-,
山本 大斗,ロ,RF,9.0,0.4,0.4,-,0.0,0.0,0.0,-,-,
坂本 誠志郎,神,C,67.0,-0.3,-,-,-0.3,0.1,1.0,2.1,0.1,
渡邉 陸,ソ,C,19.0,-0.2,-,-,0.0,-0.2,0.3,-0.5,-0.1,
湯浅 大,巨,3B,3.0,0.5,0.4,0.0,-,0.1,0.0,-,-,
湯浅 大,巨,SS,2.0,0.3,0.4,-0.1,-,0.0,0.0,-,-,
伊藤 琉偉,ヤ,3B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
梅野 隆太郎,神,C,43.0,0.7,-,-,0.7,0.1,0.6,1.2,-0.2,
牧原 大成,ソ,2B,74.0,0.8,-0.1,0.6,-,0.3,0.2,-,-,
宮本 丈,ヤ,RF,6.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
石垣 雅海,ロ,3B,16.0,1.6,1.2,0.2,-,0.3,-0.1,-,-,
石垣 雅海,ロ,SS,3.0,0.4,0.4,0.0,-,0.0,0.0,-,-,
小川 龍成,ロ,2B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
小川 龍成,ロ,SS,68.0,-2.0,-0.8,-0.7,-,-0.5,0.6,-,-,
榮枝 裕貴,神,C,9.0,0.0,-,-,0.0,0.0,0.1,0.9,0.0,
大島 洋平,中,LF,7.0,-0.5,-0.5,-,0.0,0.0,-0.1,-,-,
中村 悠平,ヤ,C,57.7,0.1,-,-,0.1,0.1,0.8,-1.2,-0.3,
木下 拓哉,中,C,80.0,0.2,-,-,0.1,0.1,1.1,-0.8,-0.2,
古賀 優大,ヤ,C,19.0,0.3,-,-,0.2,0.0,0.3,-0.3,0.0,
上田 希由翔,ロ,1B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
上田 希由翔,ロ,3B,63.0,-2.5,-1.4,-0.2,-,-0.8,-0.2,-,-,
佐々木 俊輔,巨,LF,2.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
佐々木 俊輔,巨,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
若月 健矢,オ,C,110.0,-0.6,-,-,0.2,-0.8,1.6,0.3,0.6,
中島 大輔,楽,LF,5.0,-1.1,-1.1,-,0.0,0.0,0.0,-,-,
中島 大輔,楽,RF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
門脇 誠,巨,3B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
門脇 誠,巨,SS,90.0,0.9,0.1,0.4,-,0.3,0.7,-,-,
森 敬斗,デ,SS,105.0,-0.4,0.7,-0.1,-,-1.0,0.9,-,-,
石伊 雄太,中,C,19.0,0.1,-,-,0.1,0.0,0.3,0.1,0.1,
石原 貴規,広,C,86.0,0.6,-,-,0.4,0.2,1.2,0.6,-0.1,
古賀 悠斗,西,C,82.7,0.2,-,-,0.1,0.1,1.2,-1.1,0.0,
太田 光,楽,C,94.0,1.0,-,-,0.9,0.1,1.3,-3.0,-0.1,
石原 彪,楽,C,17.7,0.1,-,-,0.0,0.1,0.3,0.0,0.1,
リチャード,ソ,3B,51.0,0.0,0.4,0.0,-,-0.4,-0.2,-,-,
松本 直樹,ヤ,C,24.0,0.6,-,-,0.8,-0.2,0.3,-0.6,0.0,
浦田 俊輔,巨,SS,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
會澤 翼,広,C,42.3,-0.2,-,-,-0.3,0.2,0.6,-0.2,-0.1,
谷川原 健太,ソ,C,22.0,-0.5,-,-,-0.5,0.0,0.3,-0.4,0.2,
寺地 隆成,ロ,C,13.0,-0.3,-,-,-0.3,0.0,0.2,0.8,-0.1,
海野 隆司,ソ,C,77.0,-0.4,-,-,-0.5,0.1,1.1,1.4,-0.2,
福永 奨,オ,C,20.0,0.4,-,-,0.4,0.0,0.3,-0.5,0.0,
岸田 行倫,巨,C,7.7,0.1,-,-,0.0,0.1,0.1,0.0,-0.1,
磯村 嘉孝,広,C,3.0,0.1,-,-,0.0,0.1,0.0,0.1,0.0,
嶺井 博希,ソ,C,3.0,0.4,-,-,0.4,0.0,0.0,-0.2,0.0,
