Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,Team,League
Itoh Kaito,15,33,31,3,8,2,0,0,10,3,0,0,1,0,3,1,0,0,2,0.258,0.281,0.323,0.604,74,0.065,0.286,9.1%,3.0%,0.33,0.0,12.1%,21,9,L,Yomiuri Giants,EL
Kameda Keita,8,12,12,1,2,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0.167,0.167,0.167,0.334,-3,0.000,0.222,25.0%,0.0%,0.00,0.0,25.0%,23,DH,R,Yomiuri Giants,EL
Katoh Ren,7,18,16,1,2,0,0,0,2,0,0,0,0,0,5,2,0,0,0,0.125,0.222,0.125,0.347,2,0.000,0.182,27.8%,11.1%,0.40,0.0,38.9%,23,6,L,Yomiuri Giants,EL
Katsuki Kazuya,95,326,286,30,64,15,1,3,90,35,0,0,3,4,43,31,0,2,8,0.224,0.300,0.315,0.615,77,0.091,0.250,13.2%,9.5%,0.72,0.0,23.6%,26,5,L,Yomiuri Giants,EL
Katsumata Shoki,12,39,34,1,3,0,0,1,6,1,0,0,1,0,10,2,0,2,1,0.088,0.184,0.176,0.360,5,0.088,0.087,25.6%,5.1%,0.20,0.0,33.3%,24,5,L,Yomiuri Giants,EL
Kikuta Hirokazu,86,329,303,31,76,19,1,4,109,35,0,0,4,2,47,17,0,3,7,0.251,0.295,0.360,0.655,88,0.109,0.283,14.3%,5.2%,0.36,0.0,20.7%,20,5,R,Yomiuri Giants,EL
Kishida Yukinori,55,181,154,22,47,6,1,1,58,12,0,1,3,0,17,23,0,1,7,0.305,0.399,0.377,0.776,124,0.072,0.338,9.4%,12.7%,1.35,-0.3,22.7%,25,2,R,Yomiuri Giants,EL
Kita Ryusuke,52,134,117,16,31,7,0,2,44,19,0,1,6,0,27,11,0,0,4,0.265,0.328,0.376,0.704,103,0.111,0.330,20.1%,8.2%,0.41,-0.3,29.9%,23,2,R,Yomiuri Giants,EL
Kitamura Takumi,66,237,209,24,55,12,0,8,91,31,1,1,2,0,34,24,0,2,4,0.263,0.345,0.435,0.780,124,0.172,0.281,14.3%,10.1%,0.71,-0.1,27.8%,26,UTL,R,Yomiuri Giants,EL
Kuroda Hibiki,3,6,6,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.167,0.167,0.167,0.334,-3,0.000,0.333,50.0%,0.0%,0.00,0.0,50.0%,21,4,R,Yomiuri Giants,EL
Maeda Kenki,7,9,9,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.111,0.111,0.111,0.222,-35,0.000,0.125,11.1%,0.0%,0.00,0.0,11.1%,23,DH,L,Yomiuri Giants,EL
Masuda Daiki,2,7,6,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0.000,0.143,0.000,0.143,-56,0.000,0.000,57.1%,14.3%,0.25,0.0,71.4%,28,7,R,Yomiuri Giants,EL
Masuda Riku,49,204,177,26,46,5,2,8,79,20,0,2,2,0,30,20,0,5,3,0.260,0.351,0.446,0.797,129,0.186,0.273,14.7%,9.8%,0.67,-0.6,28.4%,22,4,R,Yomiuri Giants,EL
Matsubara Seiya,60,236,200,21,54,9,1,2,71,25,6,4,6,2,33,28,0,0,6,0.270,0.357,0.355,0.712,106,0.085,0.311,14.0%,11.9%,0.85,-0.3,26.7%,27,8,L,Yomiuri Giants,EL
Nakajima Hiroyuki,15,39,36,2,9,1,0,0,10,2,0,0,0,1,9,2,0,0,0,0.250,0.282,0.278,0.560,62,0.028,0.321,23.1%,5.1%,0.22,0.0,28.2%,39,DH,R,Yomiuri Giants,EL
Nakata Sho,13,47,40,8,11,1,0,6,30,11,0,0,0,1,9,4,0,2,0,0.275,0.362,0.750,1.112,214,0.475,0.192,19.1%,8.5%,0.44,0.0,40.4%,33,DH,R,Yomiuri Giants,EL
Nakayama Raito,52,203,172,24,47,11,3,1,67,21,0,1,5,4,25,21,0,1,5,0.273,0.348,0.390,0.738,112,0.117,0.307,12.3%,10.3%,0.84,-0.3,23.2%,20,6,L,Yomiuri Giants,EL
Ohshiro Takumi,6,17,14,1,3,0,0,0,3,2,0,0,0,1,3,2,0,0,1,0.214,0.294,0.214,0.508,48,0.000,0.250,17.6%,11.8%,0.67,0.0,29.4%,29,2,L,Yomiuri Giants,EL
Ohtsu Ryoya,6,8,8,1,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-27,0.000,0.167,25.0%,0.0%,0.00,0.0,25.0%,19,6,R,Yomiuri Giants,EL
Okada Yuki,83,291,248,33,56,15,3,7,98,29,1,0,9,5,72,20,0,9,4,0.226,0.301,0.395,0.696,100,0.169,0.282,24.7%,6.9%,0.28,0.2,34.0%,22,8,L,Yomiuri Giants,EL
Okamoto Hiroto,8,20,18,2,2,0,0,0,2,0,0,0,1,0,5,1,0,0,1,0.111,0.158,0.111,0.269,-21,0.000,0.154,25.0%,5.0%,0.20,0.0,30.0%,19,6,R,Yomiuri Giants,EL
Sakamoto Hayato,5,13,12,3,4,2,0,0,6,1,0,0,0,0,2,1,0,0,0,0.333,0.385,0.500,0.885,154,0.167,0.400,15.4%,7.7%,0.50,0.0,23.1%,20,6,R,Yomiuri Giants,EL
Sakamoto Hayato,5,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,40.0%,0.0%,0.00,0.0,40.0%,20,6,R,Yomiuri Giants,EL
Sasahara Misaki,3,6,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.200,0.200,0.200,0.400,16,0.000,0.250,16.7%,0.0%,0.00,0.0,16.7%,18,8,R,Yomiuri Giants,EL
Shigenobu Shinnosuke,40,87,81,17,24,1,0,0,25,8,9,0,1,0,14,4,0,1,4,0.296,0.337,0.309,0.646,87,0.013,0.358,16.1%,4.6%,0.29,1.5,20.7%,29,8,L,Yomiuri Giants,EL
Suzuki Yamato,39,39,35,12,5,0,0,0,5,4,2,0,2,0,4,2,0,0,2,0.143,0.189,0.143,0.332,-3,0.000,0.161,10.3%,5.1%,0.50,0.3,15.4%,23,8,R,Yomiuri Giants,EL
Urena Estamy,82,285,251,32,68,13,1,12,119,57,0,0,0,1,45,32,1,1,4,0.271,0.354,0.474,0.828,137,0.203,0.287,15.8%,11.2%,0.71,0.0,31.2%,23,DH,R,Yomiuri Giants,EL
Wakabayashi Akihiro,5,20,19,2,7,3,0,0,10,2,1,1,0,0,5,1,0,0,0,0.368,0.400,0.526,0.926,165,0.158,0.500,25.0%,5.0%,0.20,-0.2,30.0%,28,4,S,Yomiuri Giants,EL
Walker Adam,7,31,30,5,8,3,0,2,17,5,0,0,0,0,6,0,0,1,0,0.267,0.290,0.567,0.857,143,0.300,0.273,19.4%,0.0%,0.00,0.0,25.8%,30,DH,R,Yomiuri Giants,EL
Wheeler Zelous,66,195,169,20,47,4,0,10,81,24,1,0,0,1,30,20,0,5,6,0.278,0.369,0.479,0.848,143,0.201,0.285,15.4%,10.3%,0.67,0.2,30.8%,35,DH,R,Yomiuri Giants,EL
Yamase Shinnosuke,54,137,121,9,31,6,0,2,43,17,0,0,6,0,26,10,0,0,3,0.256,0.313,0.355,0.668,92,0.099,0.312,19.0%,7.3%,0.38,0.0,27.7%,21,2,R,Yomiuri Giants,EL
Yaoita Takumaru,51,138,123,9,22,4,0,1,29,8,0,0,1,0,35,14,0,0,1,0.179,0.263,0.236,0.499,45,0.057,0.241,25.4%,10.1%,0.40,0.0,36.2%,25,9,L,Yomiuri Giants,EL
Yoshikawa Naoki,1,5,5,2,4,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0.800,0.800,1.000,1.800,415,0.200,0.800,0.0%,0.0%,,0.0,0.0%,27,4,L,Yomiuri Giants,EL
Yuasa Dai,39,154,121,19,29,1,0,4,42,10,2,4,7,1,34,22,0,3,3,0.240,0.367,0.347,0.714,106,0.107,0.298,22.1%,14.3%,0.65,-1.0,39.0%,22,6,R,Yomiuri Giants,EL
Akahane Yoshihiro,67,245,212,38,47,12,3,8,89,32,3,1,2,1,59,28,0,2,3,0.222,0.317,0.420,0.737,111,0.198,0.267,24.1%,11.4%,0.47,0.2,38.8%,22,5,R,Yakult Swallows,EL
Aoki Norichika,4,13,12,1,4,1,0,0,5,5,0,0,0,0,1,1,0,0,1,0.333,0.385,0.417,0.802,130,0.084,0.364,7.7%,7.7%,1.00,0.0,15.4%,40,7,L,Yakult Swallows,EL
Araki Takahiro,8,23,21,3,4,2,0,0,6,2,0,0,0,0,4,2,0,0,0,0.190,0.261,0.286,0.547,58,0.096,0.235,17.4%,8.7%,0.50,0.0,26.1%,34,3,R,Yakult Swallows,EL
Cole A.J.,6,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,50.0%,0.0%,0.00,0.0,50.0%,30,1,R,Yakult Swallows,EL
Hamada Taiki,14,44,39,6,12,1,0,2,19,6,1,0,0,0,8,3,0,2,0,0.308,0.386,0.487,0.873,150,0.179,0.345,18.2%,6.8%,0.38,0.2,29.5%,21,7,R,Yakult Swallows,EL
Hara Juri,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,0.0%,0.0%,,0.0,0.0%,28,1,R,Yakult Swallows,EL
Iwata Yukihiro,81,213,200,33,55,8,2,0,67,22,15,6,0,0,38,11,0,2,3,0.275,0.319,0.335,0.654,88,0.060,0.340,17.8%,5.2%,0.29,0.6,23.0%,24,8,L,Yakult Swallows,EL
Kawabata Shingo,24,72,70,2,15,5,0,0,20,6,0,0,0,0,6,2,0,0,2,0.214,0.236,0.286,0.522,50,0.072,0.234,8.3%,2.8%,0.33,0.0,11.1%,34,DH,L,Yakult Swallows,EL
Kivlehan Patrick,30,103,95,8,31,10,2,2,51,23,0,0,0,2,20,5,0,1,3,0.326,0.359,0.537,0.896,155,0.211,0.387,19.4%,4.9%,0.25,0.0,26.2%,32,DH,R,Yakult Swallows,EL
Koga Yudai,17,54,47,6,14,2,0,0,16,7,0,1,2,3,1,1,0,1,0,0.298,0.308,0.340,0.648,86,0.042,0.286,1.9%,1.9%,1.00,-0.3,3.7%,23,2,R,Yakult Swallows,EL
Komori Kohtaro,22,40,35,8,7,2,1,0,11,1,1,0,0,0,13,4,0,1,1,0.200,0.300,0.314,0.614,77,0.114,0.318,32.5%,10.0%,0.31,0.2,42.5%,19,6,R,Yakult Swallows,EL
Maruyama Kazuya,32,122,107,18,32,5,1,2,45,14,14,5,3,0,26,11,0,1,0,0.299,0.370,0.421,0.791,127,0.122,0.380,21.3%,9.0%,0.42,0.7,32.0%,22,8,L,Yakult Swallows,EL
Matsui Sho,74,221,196,31,55,16,4,6,97,39,1,2,1,0,48,23,0,1,5,0.281,0.359,0.495,0.854,144,0.214,0.345,21.7%,10.4%,0.48,-0.5,34.8%,27,2,L,Yakult Swallows,EL
Matsumoto Naoki,46,146,137,18,39,8,0,2,53,18,0,0,2,1,11,5,0,1,5,0.285,0.313,0.387,0.700,100,0.102,0.296,7.5%,3.4%,0.45,0.0,12.3%,28,2,R,Yakult Swallows,EL
Matsumoto Yu,86,299,267,33,70,10,2,13,123,57,2,1,1,3,51,25,0,3,6,0.262,0.329,0.461,0.790,125,0.199,0.277,17.1%,8.4%,0.49,0.0,29.8%,27,3,L,Yakult Swallows,EL
Miyamoto Takeshi,16,50,42,5,16,2,0,0,18,8,1,0,0,2,2,5,0,1,1,0.381,0.440,0.429,0.869,150,0.048,0.381,4.0%,10.0%,2.50,0.2,14.0%,27,UTL,L,Yakult Swallows,EL
Motoyama Hiyu,71,248,209,27,43,4,0,1,50,8,3,2,4,2,43,29,0,4,2,0.206,0.311,0.239,0.550,60,0.033,0.251,17.3%,11.7%,0.67,-0.1,29.4%,23,4,L,Yakult Swallows,EL
Nakamura Yuhei,5,11,10,0,2,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0.200,0.273,0.300,0.573,65,0.100,0.200,0.0%,0.0%,,0.0,0.0%,32,2,R,Yakult Swallows,EL
Nakayama Shota,85,230,205,21,46,10,1,4,70,28,0,0,0,1,35,22,0,2,5,0.224,0.304,0.341,0.645,85,0.117,0.251,15.2%,9.6%,0.63,0.0,26.5%,25,7,R,Yakult Swallows,EL
Namiki Hidetaka,80,289,243,49,64,8,2,1,79,23,24,9,10,2,30,30,0,4,3,0.263,0.351,0.325,0.676,95,0.062,0.294,10.4%,10.4%,1.00,1.2,21.1%,23,8,R,Yakult Swallows,EL
Nishida Akihisa,49,144,132,17,39,7,0,11,79,29,0,0,0,1,20,10,0,1,6,0.295,0.347,0.598,0.945,168,0.303,0.275,13.9%,6.9%,0.50,0.0,28.5%,30,3,R,Yakult Swallows,EL
Nishiura Naomichi,71,267,241,26,66,15,0,2,87,18,1,0,2,3,30,20,0,1,4,0.274,0.328,0.361,0.689,98,0.087,0.302,11.2%,7.5%,0.67,0.2,19.5%,31,6,R,Yakult Swallows,EL
Ohta Kengo,59,205,191,20,49,13,0,1,65,25,1,0,1,1,23,12,0,0,7,0.257,0.299,0.340,0.639,84,0.083,0.286,11.2%,5.9%,0.52,0.2,17.6%,25,3,L,Yakult Swallows,EL
Okumura Nobuyuki,15,47,37,8,11,4,1,0,17,9,0,0,0,0,5,10,0,0,0,0.297,0.447,0.459,0.906,160,0.162,0.344,10.6%,21.3%,2.00,0.0,31.9%,27,UTL,L,Yakult Swallows,EL
Sakaguchi Tomotaka,57,191,159,23,44,6,5,3,69,17,2,0,0,2,20,30,0,0,5,0.277,0.387,0.434,0.821,136,0.157,0.297,10.5%,15.7%,1.50,0.4,27.7%,37,9,L,Yakult Swallows,EL
Shima Motohiro,3,6,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0.000,0.333,0.000,0.333,2,0.000,0.000,16.7%,33.3%,2.00,0.0,50.0%,37,2,R,Yakult Swallows,EL
Sneed Cy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,0.0%,0.00,0.0,100.0%,29,1,R,Yakult Swallows,EL
Suarez Andrew,15,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,187,0.000,0.500,0.0%,0.0%,,0.0,0.0%,29,1,L,Yakult Swallows,EL
Takeoka Ryusei,71,288,255,38,60,10,4,1,81,15,6,3,7,0,59,24,0,2,3,0.235,0.306,0.318,0.624,80,0.083,0.303,20.5%,8.3%,0.41,0.1,29.2%,21,6,L,Yakult Swallows,EL
Uchikawa Seiichi,60,199,173,18,58,10,0,4,80,31,0,1,0,3,24,22,0,1,7,0.335,0.407,0.462,0.869,149,0.127,0.365,12.1%,11.1%,0.92,-0.3,25.1%,39,DH,R,Yakult Swallows,EL
Uchiyama Souma,5,18,16,2,2,2,0,0,4,0,0,0,0,0,2,2,0,0,0,0.125,0.222,0.250,0.472,36,0.125,0.143,11.1%,11.1%,1.00,0.0,22.2%,20,2,R,Yakult Swallows,EL
Uchiyama Taishi,46,109,101,12,30,4,1,0,36,14,0,1,4,2,12,2,0,0,4,0.297,0.305,0.356,0.661,90,0.059,0.330,11.0%,1.8%,0.17,-0.3,12.8%,26,2,R,Yakult Swallows,EL
Watanabe Daiki,33,73,68,13,18,1,1,1,24,5,3,2,0,0,15,4,0,1,2,0.265,0.315,0.353,0.668,92,0.088,0.327,20.5%,5.5%,0.27,-0.1,27.4%,25,8,R,Yakult Swallows,EL
Yamasaki Kotaro,8,20,17,1,4,0,0,0,4,1,1,2,0,0,2,3,0,0,0,0.235,0.350,0.235,0.585,71,0.000,0.267,10.0%,15.0%,1.50,-0.5,25.0%,28,8,L,Yakult Swallows,EL
Yoshida Taisei,91,279,231,27,42,5,3,3,62,20,4,0,5,2,53,41,0,0,5,0.182,0.303,0.268,0.571,65,0.086,0.220,19.0%,14.7%,0.77,0.7,34.8%,27,5,L,Yakult Swallows,EL
Bright Kenta,46,160,142,17,30,6,0,3,45,10,4,2,1,2,45,14,0,1,3,0.211,0.283,0.317,0.600,70,0.106,0.281,28.1%,8.8%,0.31,0.0,38.8%,23,8,R,Chunichi Dragons,WL
Donoue Naomichi,76,279,245,31,72,16,1,4,102,29,0,0,5,3,45,25,0,1,6,0.294,0.358,0.416,0.774,118,0.122,0.342,16.1%,9.0%,0.56,0.0,26.5%,33,UTL,R,Chunichi Dragons,WL
Fukuda Nobumasa,53,179,161,18,40,5,0,2,51,14,0,0,0,2,36,13,0,3,7,0.248,0.313,0.317,0.630,79,0.069,0.304,20.1%,7.3%,0.36,0.0,28.5%,33,5,R,Chunichi Dragons,WL
Fukudome Kosuke,21,59,51,3,11,3,0,2,20,2,0,0,0,0,11,7,0,1,0,0.216,0.322,0.392,0.714,102,0.176,0.237,18.6%,11.9%,0.64,0.0,33.9%,45,DH,L,Chunichi Dragons,WL
Fukumoto Yuma,53,152,137,13,35,7,0,3,51,11,0,1,0,2,16,12,0,1,6,0.255,0.316,0.372,0.688,95,0.117,0.267,10.5%,7.9%,0.75,-0.3,20.4%,22,9,R,Chunichi Dragons,WL
Fukutani Koji,15,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,,50.0%,0.0%,0.00,0.0,50.0%,31,1,R,Chunichi Dragons,WL
Garcia Guillermo,26,87,84,7,22,9,0,1,34,8,0,0,0,0,28,3,0,0,3,0.262,0.287,0.405,0.692,95,0.143,0.382,32.2%,3.4%,0.11,0.0,36.8%,21,3,L,Chunichi Dragons,WL
Gotoh Shunta,9,32,29,3,6,3,0,0,9,0,1,1,1,0,6,2,0,0,2,0.207,0.258,0.310,0.568,61,0.103,0.261,18.8%,6.2%,0.33,-0.2,25.0%,29,8,L,Chunichi Dragons,WL
Gunji Yuya,55,218,188,30,58,8,1,6,86,29,3,1,0,2,22,26,0,2,4,0.309,0.394,0.457,0.851,140,0.148,0.321,10.1%,11.9%,1.18,0.2,24.8%,24,7,R,Chunichi Dragons,WL
Hirata Ryosuke,22,70,64,6,14,1,1,1,20,9,1,0,0,1,14,5,0,0,5,0.219,0.271,0.313,0.584,66,0.094,0.260,20.0%,7.1%,0.36,0.2,28.6%,34,DH,R,Chunichi Dragons,WL
Hoshino Mao,56,135,121,9,18,4,1,0,24,5,0,0,10,1,43,3,0,0,1,0.149,0.168,0.198,0.366,6,0.049,0.228,31.9%,2.2%,0.07,0.0,34.1%,18,4,R,Chunichi Dragons,WL
Ishibashi Kota,36,123,104,13,28,9,0,1,40,13,0,0,1,2,19,15,0,1,1,0.269,0.361,0.385,0.746,111,0.116,0.314,15.4%,12.2%,0.79,0.0,28.5%,21,2,R,Chunichi Dragons,WL
Ishigaki Masami,29,109,94,11,28,9,0,2,43,16,1,0,2,0,27,12,0,1,2,0.298,0.383,0.457,0.840,136,0.159,0.400,24.8%,11.0%,0.44,0.2,37.6%,23,4,R,Chunichi Dragons,WL
Ishikawa Takaya,3,9,8,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0.125,0.222,0.125,0.347,2,0.000,0.200,33.3%,11.1%,0.33,0.0,44.4%,21,5,R,Chunichi Dragons,WL
Ishioka Ryota,50,206,173,23,58,11,2,0,73,20,12,3,3,2,36,27,1,1,5,0.335,0.424,0.422,0.846,139,0.087,0.417,17.5%,13.1%,0.75,1.1,30.6%,30,3,L,Chunichi Dragons,WL
Itoh Kosuke,64,225,197,18,45,6,1,1,56,16,6,3,3,2,31,23,1,0,5,0.228,0.306,0.284,0.590,69,0.056,0.263,13.8%,10.2%,0.74,0.1,24.4%,22,8,R,Chunichi Dragons,WL
Katoh Shohei,8,28,26,2,5,0,0,0,5,7,1,0,0,2,4,0,0,0,0,0.192,0.179,0.192,0.371,7,0.000,0.208,14.3%,0.0%,0.00,0.2,14.3%,31,DH,S,Chunichi Dragons,WL
Katsura Iori,33,88,74,5,15,2,0,2,23,11,0,0,3,1,14,6,0,4,4,0.203,0.294,0.311,0.605,72,0.108,0.220,15.9%,6.8%,0.43,0.0,25.0%,30,2,R,Chunichi Dragons,WL
Kinoshita Takuya,8,27,23,4,5,1,0,0,6,2,0,0,0,0,5,3,0,1,0,0.217,0.333,0.261,0.594,70,0.044,0.278,18.5%,11.1%,0.60,0.0,29.6%,30,2,R,Chunichi Dragons,WL
Kyoda Yota,39,158,139,10,25,3,1,1,33,4,1,0,2,0,23,15,0,2,4,0.180,0.269,0.237,0.506,45,0.057,0.209,14.6%,9.5%,0.65,0.2,24.7%,28,6,L,Chunichi Dragons,WL
Martinez Ariel,15,64,56,7,16,3,0,1,22,7,1,0,0,0,11,5,0,3,2,0.286,0.375,0.393,0.768,117,0.107,0.341,17.2%,7.8%,0.45,0.2,26.6%,26,7,R,Chunichi Dragons,WL
Matsuda Hiroaki,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,,0.0%,0.0%,,0.0,0.0%,25,1,L,Chunichi Dragons,WL
Mitsumata Taiki,39,152,123,19,36,6,1,1,47,12,4,1,3,1,25,23,0,2,6,0.293,0.409,0.382,0.791,124,0.089,0.357,16.4%,15.1%,0.92,0.4,32.2%,30,4,R,Chunichi Dragons,WL
Miya Taisei,52,68,62,4,4,1,0,0,5,1,0,0,2,0,25,4,0,0,1,0.065,0.121,0.081,0.202,-39,0.016,0.108,36.8%,5.9%,0.16,0.0,42.6%,19,2,L,Chunichi Dragons,WL
Miyoshi Hironori,65,242,220,26,54,6,3,1,69,18,6,6,2,3,51,12,0,5,5,0.245,0.296,0.314,0.610,73,0.069,0.310,21.1%,5.0%,0.24,-0.9,26.4%,24,8,L,Chunichi Dragons,WL
Mizowaki Hayato,5,20,17,2,3,1,0,0,4,3,0,0,0,0,2,3,0,0,0,0.176,0.300,0.235,0.535,54,0.059,0.200,10.0%,15.0%,1.50,0.0,25.0%,28,4,L,Chunichi Dragons,WL
Neo Akira,17,75,65,10,16,3,3,1,28,13,0,2,1,0,19,9,0,0,1,0.246,0.338,0.431,0.769,116,0.185,0.333,25.3%,12.0%,0.47,-0.7,38.7%,22,6,L,Chunichi Dragons,WL
Ohno Shota,52,139,119,7,27,8,0,0,35,12,0,1,9,2,9,6,0,3,2,0.227,0.277,0.294,0.571,63,0.067,0.241,6.5%,4.3%,0.67,-0.3,10.8%,35,2,R,Chunichi Dragons,WL
Ohshima Yohei,3,9,9,0,4,1,1,0,7,1,0,0,0,0,0,0,0,0,0,0.444,0.444,0.778,1.222,239,0.334,0.444,0.0%,0.0%,,0.0,0.0%,36,8,L,Chunichi Dragons,WL
Okabayashi Yuki,2,9,8,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0.125,0.222,0.125,0.347,2,0.000,0.143,11.1%,11.1%,1.00,0.2,22.2%,20,9,L,Chunichi Dragons,WL
Okada Toshiya,36,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.500,0.000,0.500,51,0.000,,50.0%,50.0%,1.00,0.0,100.0%,30,1,L,Chunichi Dragons,WL
Revilla Pedro,15,49,44,3,9,0,1,2,17,8,0,0,0,0,22,3,0,2,0,0.205,0.286,0.386,0.672,89,0.181,0.350,44.9%,6.1%,0.14,0.0,55.1%,23,DH,R,Chunichi Dragons,WL
Takahashi Shuhei,18,62,59,8,18,7,0,0,25,3,0,0,0,0,7,3,0,0,1,0.305,0.339,0.424,0.763,115,0.119,0.346,11.3%,4.8%,0.43,0.0,16.1%,28,5,L,Chunichi Dragons,WL
Takamatsu Wataru,2,6,6,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0.333,0.333,0.333,0.666,89,0.000,0.400,16.7%,0.0%,0.00,-0.3,16.7%,22,UTL,L,Chunichi Dragons,WL
Takino Kaname,27,78,73,13,18,0,2,1,25,9,3,2,0,1,13,4,0,0,0,0.247,0.282,0.342,0.624,77,0.095,0.283,16.7%,5.1%,0.31,-0.1,23.1%,25,4,L,Chunichi Dragons,WL
Tavarez Yohan,14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,,100.0%,0.0%,0.00,0.0,100.0%,,1,,Chunichi Dragons,WL
Tsuchida Ryuku,52,178,162,17,42,5,0,0,47,9,7,4,5,0,29,6,0,5,2,0.259,0.306,0.290,0.596,70,0.031,0.316,16.3%,3.4%,0.21,-0.1,19.7%,19,6,L,Chunichi Dragons,WL
Ukai Kosuke,12,45,41,5,12,4,0,2,22,7,1,1,0,0,13,4,0,0,1,0.293,0.356,0.537,0.893,150,0.244,0.385,28.9%,8.9%,0.31,-0.2,42.2%,23,9,R,Chunichi Dragons,WL
Wakamatsu Luke,50,153,123,14,29,7,2,1,43,17,2,3,4,3,37,19,0,4,3,0.236,0.349,0.350,0.699,98,0.114,0.318,24.2%,12.4%,0.51,-0.6,37.3%,25,UTL,S,Chunichi Dragons,WL
Watanabe Masaru,76,280,230,27,57,12,2,2,79,20,9,3,3,2,44,42,0,3,8,0.248,0.368,0.343,0.711,102,0.095,0.296,15.7%,15.0%,0.95,0.6,31.4%,28,9,L,Chunichi Dragons,WL
Yamashita Ayatsugu,53,161,148,15,39,4,1,5,60,21,2,0,0,1,36,12,2,0,6,0.264,0.317,0.405,0.722,104,0.141,0.315,22.4%,7.5%,0.33,0.4,32.9%,29,DH,L,Chunichi Dragons,WL
Adachi Ryoichi,3,9,7,1,2,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0.286,0.444,0.286,0.730,120,0.000,0.333,11.1%,11.1%,1.00,0.0,22.2%,34,4,R,ORIX Buffaloes,WL
Fukuda Shuhei,7,24,21,4,8,1,1,0,11,1,1,1,0,0,1,3,0,0,1,0.381,0.458,0.524,0.982,193,0.143,0.400,4.2%,12.5%,3.00,-0.2,16.7%,29,DH,L,ORIX Buffaloes,WL
Fukunaga Sho,85,247,199,15,41,9,1,1,55,16,0,1,14,4,26,22,0,8,5,0.206,0.305,0.276,0.581,72,0.070,0.227,10.5%,8.9%,0.85,-0.3,19.8%,22,2,R,ORIX Buffaloes,WL
Fushimi Torai,4,8,8,1,1,0,0,1,4,1,0,0,0,0,2,0,0,0,1,0.125,0.125,0.500,0.625,79,0.375,0.000,25.0%,0.0%,0.00,0.0,37.5%,32,2,R,ORIX Buffaloes,WL
Gen Kendai,100,306,268,26,64,4,3,2,80,27,5,3,8,1,58,26,0,3,9,0.239,0.312,0.299,0.611,81,0.060,0.297,19.0%,8.5%,0.45,-0.1,28.1%,20,8,R,ORIX Buffaloes,WL
Gibo Sho,45,193,170,18,45,5,1,0,52,15,3,1,9,0,22,13,0,1,3,0.265,0.321,0.306,0.627,86,0.041,0.304,11.4%,6.7%,0.59,0.2,18.1%,21,6,L,ORIX Buffaloes,WL
Gotoh Shunta,14,29,24,4,8,1,1,1,14,7,0,3,1,0,5,4,0,0,0,0.333,0.429,0.583,1.012,200,0.250,0.389,17.2%,13.8%,0.80,-1.0,34.5%,29,8,L,ORIX Buffaloes,WL
Hirano Yamato,51,113,104,12,24,4,2,4,44,11,1,2,2,1,25,5,0,1,0,0.231,0.270,0.423,0.693,103,0.192,0.263,22.1%,4.4%,0.20,-0.5,30.1%,20,7,R,ORIX Buffaloes,WL
Hirosawa Shinya,42,37,33,5,4,1,0,0,5,2,0,0,1,0,12,3,0,0,1,0.121,0.194,0.152,0.346,1,0.031,0.190,32.4%,8.1%,0.25,0.0,40.5%,22,6,R,ORIX Buffaloes,WL
