#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/91895153.html>Futamata Shoichi</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,0.0%,0.00,0.0,,33.3%,100.0%,50.0%,16.7%,100.0%,23,,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/71675152.html>Hirakawa Ren</a>,3,13,12,1,2,1,0,0,3,3,0,0,0,0,4,1,0,0,0,0.167,0.231,0.250,0.481,39,0.083,0.250,30.8%,7.7%,0.25,-0.0,12.5%,43.8%,92.3%,56.2%,18.8%,38.5%,22,8,S,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/81585152.html>Katsuda Naru</a>,3,11,10,0,1,0,0,0,1,1,0,0,0,0,4,1,1,0,0,0.100,0.182,0.100,0.282,-15,0.000,0.167,36.4%,9.1%,0.25,-0.0,0.0%,33.3%,90.0%,41.3%,8.7%,45.5%,23,6,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61565135.html>Kikuchi Ryosuke</a>,3,12,10,1,1,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0.100,0.100,0.100,0.200,-40,0.000,0.143,25.0%,0.0%,0.00,-0.0,0.0%,27.3%,88.9%,33.3%,11.1%,25.0%,36,4,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01705138.html>Kozono Kaito</a>,3,13,11,1,2,1,0,0,3,0,0,1,0,0,2,2,0,0,0,0.182,0.308,0.273,0.581,69,0.091,0.222,15.4%,15.4%,1.00,-0.3,11.1%,32.1%,80.0%,39.6%,8.3%,30.8%,26,5,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/91995153.html>Kuribayashi Ryoji</a>,1,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,0.0%,0.00,0.0,,66.7%,100.0%,45.5%,27.3%,100.0%,29,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/53955150.html>Montero Elehuris</a>,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,473,0.000,1.000,0.0%,0.0%,,-0.0,0.0%,100.0%,100.0%,100.0%,50.0%,0.0%,27,,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/81285136.html>Nakamura Shosei</a>,3,13,11,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,15.4%,0.0%,0.00,0.0,0.0%,33.3%,81.8%,40.0%,11.1%,15.4%,27,9,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/11915134.html>Sakakura Shogo</a>,3,11,7,1,2,1,0,0,3,1,0,0,0,0,2,4,1,0,0,0.286,0.545,0.429,0.974,183,0.143,0.400,18.2%,36.4%,2.00,-0.0,20.0%,20.0%,76.9%,47.2%,13.9%,54.5%,28,2,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/11015150.html>Sasaki Tai</a>,3,13,12,2,3,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0.250,0.308,0.250,0.558,63,0.000,0.273,7.7%,7.7%,1.00,-0.0,27.3%,34.5%,100.0%,48.9%,8.9%,15.4%,23,3,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/43545152.html>Tarnok Freddy</a>,1,2,2,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0.500,0.500,1.000,1.500,318,0.500,1.000,50.0%,0.0%,0.00,0.0,0.0%,100.0%,100.0%,66.7%,33.3%,50.0%,27,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/11415134.html>Tokoda Hiroki</a>,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,473,0.000,1.000,0.0%,0.0%,,-0.0,0.0%,33.3%,66.7%,57.1%,14.3%,0.0%,31,1,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155136.html>Azuma Katsuki</a>,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,0.0%,0.00,0.0,0.0%,0.0%,85.7%,58.3%,8.3%,50.0%,30,1,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51555151.html>Ebina Tatsuo</a>,3,12,11,0,2,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0.182,0.182,0.182,0.364,7,0.000,0.250,25.0%,0.0%,0.00,-0.0,0.0%,47.4%,80.0%,53.3%,13.3%,25.0%,28,8,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91695157.html>Hayashi Takuma</a>,2,8,7,0,1,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0.143,0.250,0.143,0.393,18,0.000,0.200,25.0%,12.5%,0.50,0.2,20.0%,43.8%,90.0%,56.7%,16.7%,37.5%,25,6,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/13715152.html>Hummel Cooper</a>,3,13,9,0,1,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0.111,0.385,0.111,0.496,51,0.000,0.250,38.5%,30.8%,0.80,-0.0,75.0%,20.0%,75.0%,29.4%,15.7%,69.2%,31,9,S,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/61365153.html>Irie Taisei</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,33.3%,0.0%,0.0%,27,1,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21125159.html>Ishida Yutaro</a>,1,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,0.0%,0.00,0.0,,57.1%,100.0%,38.5%,15.4%,100.0%,24,1,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91195159.html>Ishikami Taiki</a>,2,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,0.0%,0.00,0.0,,16.7%,37.5%,56.2%,37.5%,100.0%,25,6,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/31735134.html>Kuki Ryuhei</a>,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,0.0%,0.00,0.0,100.0%,0.0%,75.0%,57.1%,14.3%,50.0%,27,,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/13115153.html>Maki Shugo</a>,3,13,13,4,6,2,0,1,11,1,1,0,0,0,1,0,0,0,0,0.462,0.462,0.846,1.308,267,0.384,0.455,7.7%,0.0%,0.00,0.2,25.0%,31.6%,100.0%,44.2%,4.7%,15.4%,28,4,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21825157.html>Matsuo Shion</a>,2,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.400,0.400,0.400,0.800,131,0.000,0.400,0.0%,0.0%,,-0.0,20.0%,40.0%,100.0%,35.7%,0.0%,0.0%,21,2,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51455137.html>Miyazaki Toshiro</a>,3,9,9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,-34,0.000,0.111,0.0%,0.0%,,-0.0,11.1%,6.7%,100.0%,36.1%,0.0%,0.0%,37,5,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91995134.html>Sano Keita</a>,3,13,12,1,3,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0.250,0.308,0.250,0.558,64,0.000,0.300,15.4%,7.7%,0.50,-0.0,10.0%,27.3%,93.8%,40.3%,6.5%,23.1%,31,7,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/41945131.html>Tsutsugoh Yoshitomo</a>,1,4,4,0,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.750,0.750,1.000,1.750,397,0.250,0.750,0.0%,0.0%,,-0.0,75.0%,28.6%,100.0%,38.9%,5.6%,0.0%,34,5,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/13715132.html>Viciedo Dayan</a>,3,9,8,0,2,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0.250,0.222,0.250,0.472,37,0.000,0.250,11.1%,0.0%,0.00,-0.0,25.0%,21.4%,100.0%,50.0%,3.8%,11.1%,37,3,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/33535159.html>Watarai Ryuki</a>,3,7,7,1,3,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0.429,0.429,0.857,1.286,260,0.428,0.400,14.3%,0.0%,0.00,-0.0,33.3%,40.0%,100.0%,54.5%,0.0%,28.6%,23,7,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/23125136.html>Yamamoto Yuudai</a>,3,9,7,0,2,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0.286,0.444,0.286,0.730,115,0.000,0.400,22.2%,11.1%,0.50,-0.0,0.0%,11.5%,100.0%,24.4%,4.4%,33.3%,27,2,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155155.html>Akahoshi Yuji</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,25.0%,0.0%,0.0%,26,1,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/73575150.html>Cabbage Trey</a>,3,13,13,2,5,0,0,1,8,1,0,1,0,0,3,0,0,0,0,0.385,0.385,0.615,1.000,192,0.230,0.444,23.1%,0.0%,0.00,-0.3,30.0%,39.3%,82.4%,56.0%,20.0%,30.8%,29,7,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/63565152.html>Dalbec Bobby</a>,3,12,11,2,3,1,0,2,10,5,0,0,0,0,4,1,0,0,1,0.273,0.333,0.909,1.242,256,0.636,0.200,33.3%,8.3%,0.25,-0.0,0.0%,29.0%,75.0%,40.4%,13.5%,58.3%,31,3,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/23725150.html>Howard Spencer</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,0.0%,0.00,0.0,,0.0%,0.0%,40.0%,40.0%,100.0%,29,1,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/61165159.html>Izuguchi Yuta</a>,3,12,10,3,5,2,0,1,10,1,0,0,0,0,0,2,0,0,0,0.500,0.583,1.000,1.583,363,0.500,0.444,0.0%,16.7%,1.00,-0.0,30.0%,4.3%,100.0%,30.2%,0.0%,25.0%,27,6,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/91595136.html>Kishida Yukinori</a>,3,11,9,0,2,0,0,0,2,1,0,0,0,1,3,1,0,0,0,0.222,0.273,0.222,0.495,48,0.000,0.286,27.3%,9.1%,0.33,-0.0,14.3%,34.8%,75.0%,44.4%,8.9%,36.4%,29,2,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/21425116.html>Maru Yoshihiro</a>,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,66.7%,33.3%,11.1%,0.0%,37,,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/01605138.html>Masuda Riku</a>,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,0.0%,0.00,0.0,0.0%,66.7%,50.0%,60.0%,30.0%,66.7%,26,4,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/21625135.html>Matsumoto Go</a>,3,13,12,2,3,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0.250,0.308,0.250,0.558,67,0.000,0.300,15.4%,7.7%,0.50,-0.0,0.0%,36.0%,92.3%,44.9%,8.2%,23.1%,32,8,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51655153.html>Nakayama Raito</a>,3,10,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.000,0.100,0.000,0.100,-70,0.000,0.000,10.0%,10.0%,1.00,-0.0,12.5%,22.2%,100.0%,37.5%,5.0%,20.0%,24,9,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51955114.html>Sakamoto Hayato</a>,3,10,9,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.111,0.200,0.111,0.311,-7,0.000,0.125,10.0%,10.0%,1.00,-0.0,12.5%,6.2%,90.0%,53.8%,7.7%,20.0%,37,5,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51955159.html>Sasaki Shunsuke</a>,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,33.3%,66.7%,66.7%,16.7%,0.0%,26,7,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/71275152.html>Takemaru Kazuyuki</a>,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,0.0%,0.00,0.0,,75.0%,,37.5%,25.0%,100.0%,24,1,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/81385150.html>Urata Shunsuke</a>,2,7,7,0,2,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0.286,0.286,0.429,0.715,109,0.143,0.333,14.3%,0.0%,0.00,-0.0,0.0%,38.5%,100.0%,48.3%,3.4%,14.3%,23,4,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/53555153.html>Wakabayashi Gakuto</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,66.7%,100.0%,75.0%,0.0%,0.0%,28,,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155153.html>Akahane Yoshihiro</a>,3,5,5,1,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0.400,0.400,0.400,0.800,125,0.000,1.000,60.0%,0.0%,0.00,-0.0,0.0%,58.3%,100.0%,52.4%,23.8%,60.0%,26,7,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/11615157.html>Hashimoto Seiya</a>,2,7,5,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.000,0.143,0.000,0.143,-51,0.000,0.000,14.3%,14.3%,1.00,-0.0,40.0%,30.8%,100.0%,33.3%,4.2%,28.6%,25,9,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/81185159.html>Itoh Ryui</a>,3,12,12,1,2,0,0,1,5,2,0,0,0,0,5,0,0,0,1,0.167,0.167,0.417,0.584,60,0.250,0.167,41.7%,0.0%,0.00,-0.0,28.6%,19.0%,80.0%,45.3%,15.1%,50.0%,23,4,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/51355155.html>Iwata Yukihiro</a>,3,12,12,2,3,0,0,0,3,1,1,0,0,0,4,0,0,0,0,0.250,0.250,0.250,0.500,43,0.000,0.375,33.3%,0.0%,0.00,0.2,0.0%,40.9%,72.7%,46.5%,16.3%,33.3%,28,8,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/01705134.html>Koga Yudai</a>,2,9,9,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,89,0.000,0.333,0.0%,0.0%,,-0.0,11.1%,50.0%,100.0%,66.7%,0.0%,0.0%,27,2,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
