#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
,Ojima Kazuya,24,8,10,0,0,0,0,619,145.0,144,20,92,54,0,3,3,67,60,3.72,4.76,4.19,1.37,82,139,117,-1.04,3.2%,14.9%,8.7%,6.1%,46.6%,27.9%,79.2%,9.4%,26.2%,89.6,Lotte Marines,28,L,PL
,Taneichi Atsuki,24,9,8,0,0,2,0,666,160.2,134,13,161,50,0,6,9,55,47,2.63,3.15,3.13,1.15,117,92,88,-0.52,2.0%,24.2%,7.5%,16.7%,49.2%,31.0%,72.2%,13.7%,29.3%,92.4,Lotte Marines,26,R,PL
,Arihara Kohei,26,14,9,0,0,1,1,724,175.0,167,10,121,41,1,6,2,67,59,3.03,3.22,3.70,1.19,101,94,104,-0.19,1.4%,16.7%,5.7%,11.0%,54.8%,31.1%,76.1%,11.6%,27.8%,91.6,SoftBank Hawks,32,R,PL
,Moinelo Livan,24,12,3,0,0,3,2,639,167.0,112,10,172,42,0,3,1,29,27,1.46,2.58,2.77,0.92,210,75,78,-1.12,1.6%,26.9%,6.6%,20.3%,41.2%,32.4%,72.4%,13.9%,30.6%,92.9,SoftBank Hawks,29,L,PL
,Ohzeki Tomohisa,24,13,5,0,0,0,0,586,146.2,107,11,97,35,1,5,0,36,27,1.66,3.52,3.74,0.97,185,103,105,-1.86,1.9%,16.6%,6.0%,10.6%,43.6%,23.7%,81.6%,8.5%,26.6%,88.6,SoftBank Hawks,27,L,PL
,Uwasawa Naoyuki,23,12,6,0,0,1,0,577,144.2,113,12,115,36,1,5,0,52,44,2.74,3.39,3.43,1.03,112,99,96,-0.65,2.1%,19.9%,6.2%,13.7%,48.1%,31.1%,76.4%,11.4%,29.3%,90.8,SoftBank Hawks,31,R,PL
,Imai Tatsuya,24,10,5,0,0,5,3,641,163.2,101,6,178,45,0,10,3,38,35,1.92,2.36,2.73,0.89,156,71,76,-0.44,0.9%,27.8%,7.0%,20.7%,50.2%,32.4%,68.0%,15.7%,31.4%,94.9,Seibu Lions,27,R,PL
,Sumida Chihiro,23,10,10,0,0,3,1,646,159.2,142,12,149,34,2,2,3,47,46,2.59,2.84,3.02,1.10,116,85,85,-0.25,1.9%,23.1%,5.3%,17.8%,47.3%,31.0%,75.6%,11.7%,30.5%,91.9,Seibu Lions,25,L,PL
,Takahashi Kona,24,8,9,0,0,0,0,616,148.0,141,10,88,41,0,6,7,56,50,3.04,3.69,4.04,1.23,98,110,113,-0.65,1.6%,14.3%,6.7%,7.6%,51.7%,25.6%,81.8%,8.4%,25.3%,93.1,Seibu Lions,28,R,PL
,Itoh Hiromi,27,14,8,0,0,6,1,797,196.2,179,15,195,29,3,8,4,60,55,2.52,2.63,2.72,1.06,126,74,76,-0.11,1.9%,24.5%,3.6%,20.8%,45.7%,32.9%,77.1%,11.8%,29.3%,92.9,Nipponham Fighters,27,R,PL
,Kitayama Koki,22,9,5,0,0,4,0,599,149.0,112,7,143,45,0,4,2,37,27,1.63,2.73,3.16,1.05,195,77,89,-1.10,1.2%,23.9%,7.5%,16.4%,41.3%,29.1%,78.2%,10.6%,28.1%,93.4,Nipponham Fighters,26,R,PL
