,Player,ポジション,投打,身長／体重,生年月日,経歴,ドラフト
https://npb.jp/bis/players/31135133.html,秋山　翔吾,外野手,右投左打,186cm／86kg,1988年4月16日,横浜創学館高 - 八戸大,2010年ドラフト3位
https://npb.jp/bis/players/31135134.html,アドゥワ　誠,投手,右投右打,196cm／80kg,1998年10月2日,松山聖陵高,2016年ドラフト5位
https://npb.jp/bis/players/81185133.html,磯村　嘉孝,,右投右打,178cm／92kg,1992年11月1日,中京大中京高,2010年ドラフト5位
https://npb.jp/bis/players/21125151.html,石原　貴規,捕手,右投右打,173cm／88kg,1998年2月3日,創志学園高 - 天理大,2019年ドラフト5位
https://npb.jp/bis/players/31335137.html,上本　崇司,,右投右打,170cm／76kg,1990年8月22日,広陵高 - 明治大,2012年ドラフト3位
https://npb.jp/bis/players/41345151.html,宇草　孔基,,右投左打,185cm／84kg,1997年4月17日,常総学院高 - 法政大,2019年ドラフト2位
https://npb.jp/bis/players/51355157.html,内田　湘大,内野手,右投右打,183cm／97kg,2004年9月22日,利根商,2022年ドラフト2位
https://npb.jp/bis/players/71375136.html,遠藤　淳志,投手,右投右打,186cm／90kg,1999年4月8日,霞ヶ浦高,2017年ドラフト5位
https://npb.jp/bis/players/61365139.html,大瀬良　大地,投手,右投右打,188cm／94kg,1991年6月17日,長崎日大高 - 九州共立大,2013年ドラフト1位
https://npb.jp/bis/players/21325138.html,大盛　穂,外野手,右投左打,179cm／84kg,1996年8月31日,飛龍高 - 静岡産業大,2018年育成選手ドラフト1位
https://npb.jp/bis/players/41545153.html,大道　温貴,投手,右投右打,180cm／91kg,1999年1月20日,春日部共栄高 - 八戸学院大,2020年ドラフト3位
https://npb.jp/bis/players/91595150.html,岡本　駿,投手,右投左打,186cm／89kg,2002年6月12日,徳島・城南高 - 甲南大,2024年ドラフト3位
https://npb.jp/bis/players/71575157.html,河野　佳,投手,右投右打,175cm／87kg,2001年8月23日,広陵高 - 大阪ガス,2022年ドラフト5位
https://npb.jp/bis/players/61565135.html,菊池　涼介,内野手,右投右打,171cm／71kg,1990年3月11日,武蔵工大二高 - 中京学院大,2011年ドラフト2位
https://npb.jp/bis/players/91795150.html,菊地　ハルン,投手,右投右打,200cm／117kg,2007年1月21日,千葉学芸高,2024年ドラフト5位
https://npb.jp/bis/players/91995153.html,栗林　良吏,投手,右投右打,177cm／88kg,1996年7月9日,愛知黎明高 - 名城大 - トヨタ自動車,2020年ドラフト1位
https://npb.jp/bis/players/41745155.html,黒原　拓未,投手,左投左打,173cm／83kg,1999年11月29日,智弁和歌山高 - 関西学院大,2021年ドラフト1位
https://npb.jp/bis/players/81585157.html,久保　修,外野手,右投右打,181cm／83kg,2000年9月29日,石見智翠館高 - 大阪観光大,2022年ドラフト7位
https://npb.jp/bis/players/71775136.html,ケムナ　誠,投手,右投右打,190cm／98kg,1995年6月5日,日南高 - 日本文理大,2017年ドラフト3位
https://npb.jp/bis/players/01705138.html,小園　海斗,内野手,右投左打,178cm／92kg,2000年6月7日,報徳学園高,2018年ドラフト1位
https://npb.jp/bis/players/61965153.html,小林　樹斗,,右投右打,182cm／92kg,2003年1月16日,智弁和歌山高,2020年ドラフト4位
https://npb.jp/bis/players/91995150.html,小船　翼,投手,右投右打,198cm／119kg,2006年6月20日,知徳高,2024年育成選手ドラフト1位
https://npb.jp/bis/players/11915134.html,坂倉　将吾,捕手,右投左打,177cm／91kg,1998年5月29日,日大三高,2016年ドラフト4位
https://npb.jp/bis/players/61765157.html,斉藤　優汰,投手,右投左打,189cm／99kg,2004年5月27日,苫小牧中央高,2022年ドラフト1位
https://npb.jp/bis/players/71975159.html,佐藤　啓介,内野手,右投左打,182cm／93kg,2001年5月24日,中京大中京高 - 静岡大,2023年育成選手ドラフト2位
https://npb.jp/bis/players/11015150.html,佐々木　泰,内野手,右投右打,178cm／86kg,2002年12月24日,県立岐阜商 - 青山学院大,2024年ドラフト1位
https://npb.jp/bis/players/71075150.html,佐藤　柳之介,投手,左投左打,179cm／88kg,2002年11月1日,東陵高 - 富士大,2024年ドラフト2位
https://npb.jp/bis/players/31935138.html,島内　颯太郎,投手,右投右打,180cm／84kg,1996年10月14日,光陵高 - 九州共立大,2018年ドラフト2位
https://npb.jp/bis/players/91995157.html,清水　叶人,捕手,右投左打,176cm／92kg,2004年7月6日,高崎健康福祉大高崎高,2022年ドラフト4位
https://npb.jp/bis/players/61065151.html,鈴木　健矢,投手,右投左打,176cm／80kg,1997年12月11日,木更津総合高 - JX-ENEOS,2019年ドラフト4位
https://npb.jp/bis/players/51055155.html,末包　昇大,外野手,右投右打,188cm／108kg,1996年5月27日,高松商 - 東洋大 - 大阪ガス,2021年ドラフト6位
https://npb.jp/bis/players/51055159.html,杉田　健,投手,右投右打,188cm／85kg,2001年8月28日,日大三島高 - 日本大国際関係学部,2023年育成選手ドラフト1位
https://npb.jp/bis/players/71075159.html,杉原　望来,投手,左投左打,175cm／78kg,2005年9月23日,京都国際高,2023年育成選手ドラフト3位
https://npb.jp/bis/players/61965139.html,田中　広輔,,右投左打,171cm／85kg,1989年7月3日,東海大相模高 - 東海大 - JR東日本,2013年ドラフト3位
https://npb.jp/bis/players/01005134.html,高橋　昂也,投手,左投左打,182cm／91kg,1998年9月27日,花咲徳栄高,2016年ドラフト2位
https://npb.jp/bis/players/41245151.html,玉村　昇悟,投手,左投左打,179cm／89kg,2001年4月16日,丹生高,2019年ドラフト6位
https://npb.jp/bis/players/11215155.html,髙木　翔斗,捕手,右投右打,188cm／93kg,2003年8月12日,県立岐阜商,2021年ドラフト7位
https://npb.jp/bis/players/61265155.html,田村　俊介,外野手,左投左打,178cm／95kg,2003年8月25日,愛工大名電高,2021年ドラフト4位
https://npb.jp/bis/players/41045159.html,髙　太一,投手,左投左打,179cm／89kg,2001年7月26日,広陵高 - 大阪商業大,2023年ドラフト2位
https://npb.jp/bis/players/31235159.html,滝田　一希,投手,左投左打,183cm／89kg,2001年12月28日,寿都高 - 星槎道都大,2023年ドラフト3位
https://npb.jp/bis/players/61265150.html,竹下　海斗,投手,左投左打,180cm／80kg,2006年11月6日,敦賀気比高,2024年育成選手ドラフト2位
https://npb.jp/bis/players/81085157.html,辻　大雅,投手,左投左打,182cm／88kg,2004年8月29日,二松学舎大付高,2022年育成選手ドラフト3位
https://npb.jp/bis/players/31435159.html,常廣　羽也斗,投手,右投右打,180cm／82kg,2001年9月18日,大分舞鶴高 - 青山学院大,2023年ドラフト1位
https://npb.jp/bis/players/61965131.html,堂林　翔太,内野手,右投右打,184cm／94kg,1991年8月17日,中京大中京高,2009年ドラフト2位
https://npb.jp/bis/players/11415134.html,床田　寛樹,投手,左投左打,181cm／94kg,1995年3月1日,箕面学園高 - 中部学院大,2016年ドラフト3位
https://npb.jp/bis/players/33735150.html,Ｊ．ドミンゲス,,右投右打,193cm／86kg,1996年1月18日,セナペック高 - 米マイナー,
https://npb.jp/bis/players/31235133.html,中﨑　翔太,投手,右投右打,187cm／101kg,1992年8月10日,日南学園高,2010年ドラフト6位
https://npb.jp/bis/players/81285136.html,中村　奨成,外野手,右投右打,181cm／89kg,1999年6月6日,広陵高,2017年ドラフト1位
https://npb.jp/bis/players/01405155.html,中村　健人,,右投右打,183cm／96kg,1997年5月21日,中京大中京高 - 慶応大 - トヨタ自動車,2021年ドラフト3位
https://npb.jp/bis/players/61265157.html,中村　貴浩,外野手,右投左打,177cm／87kg,2000年4月9日,九州国際大付高 - 九州産業大,2022年育成選手ドラフト2位
https://npb.jp/bis/players/11415157.html,名原　典彦,外野手,右投右打,182cm／82kg,2000年6月24日,瀬戸内高 - 青森大,2022年育成選手ドラフト1位
https://npb.jp/bis/players/41445159.html,仲田　侑仁,内野手,右投右打,187cm／103kg,2005年7月31日,沖縄尚学高,2023年ドラフト4位
https://npb.jp/bis/players/01405151.html,韮澤　雄也,,右投左打,175cm／85kg,2001年5月20日,花咲徳栄高,2019年ドラフト4位
https://npb.jp/bis/players/01405130.html,野間　峻祥,外野手,右投左打,182cm／87kg,1993年1月28日,村野工 - 中部学院大,2014年ドラフト1位
https://npb.jp/bis/players/71475138.html,羽月　隆太郎,内野手,右投左打,168cm／70kg,2000年4月19日,神村学園高,2018年ドラフト7位
https://npb.jp/bis/players/01405138.html,林　晃汰,内野手,右投左打,181cm／100kg,2000年11月16日,智弁和歌山高,2018年ドラフト3位
https://npb.jp/bis/players/51655157.html,長谷部　銀次,投手,左投左打,184cm／90kg,1998年7月29日,中京大中京高 - 慶応大 - トヨタ自動車,2022年ドラフト6位
https://npb.jp/bis/players/73975159.html,Ｔ．ハーン,投手,左投左打,198cm／118kg,1994年8月30日,オクラホマバプティスト大 - レンジャーズ - ブレーブス - ロイヤルズ,
https://npb.jp/bis/players/41645157.html,日髙　暖己,投手,右投左打,183cm／75kg,2004年9月16日,富島高,2022年ドラフト5位
https://npb.jp/bis/players/91895153.html,二俣　翔一,内野手,右投右打,180cm／78kg,2002年10月21日,磐田東高,2020年育成選手ドラフト1位
https://npb.jp/bis/players/43745150.html,Ｓ．ファビアン,外野手,右投右打,180cm／92kg,1998年3月6日,ハポン中高 - レンジャーズ,
https://npb.jp/bis/players/21625130.html,塹江　敦哉,投手,左投左打,178cm／89kg,1997年2月21日,高松北高,2014年ドラフト3位
https://npb.jp/bis/players/01405116.html,松山　竜平,,右投左打,176cm／96kg,1985年9月18日,鹿屋中央高 - 九州国際大,2007年大学生・社会人ドラフト4巡目
https://npb.jp/bis/players/41845155.html,前川　誠太,内野手,右投右打,176cm／66kg,2003年4月4日,敦賀気比高,2021年育成選手ドラフト2位
https://npb.jp/bis/players/73175155.html,松本　竜也,投手,右投右打,178cm／100kg,1999年9月18日,智弁学園高 - ホンダ鈴鹿,2021年ドラフト5位
https://npb.jp/bis/players/91895157.html,益田　武尚,投手,右投右打,174cm／86kg,1998年10月6日,嘉穂高 - 北九州市立大 - 東京ガス,2022年ドラフト3位
https://npb.jp/bis/players/81885151.html,持丸　泰輝,捕手,右投左打,177cm／91kg,2001年10月26日,旭川大高,2019年育成選手ドラフト1位
https://npb.jp/bis/players/53155151.html,森下　暢仁,投手,右投右打,181cm／81kg,1997年8月25日,大分商 - 明治大,2019年ドラフト1位
https://npb.jp/bis/players/73375153.html,森浦　大輔,投手,左投左打,175cm／78kg,1998年6月15日,天理高 - 天理大,2020年ドラフト2位
https://npb.jp/bis/players/93395155.html,森　翔平,投手,左投左打,177cm／86kg,1998年1月1日,鳥取商 - 関西大 - 三菱重工West,2021年ドラフト2位
https://npb.jp/bis/players/53955150.html,Ｅ．モンテロ,内野手,右投右打,190cm／106kg,1998年8月17日,サンホセフェイアレグリア中高 - ロッキーズ,
https://npb.jp/bis/players/13115136.html,山足　達也,,右投右打,174cm／76kg,1993年10月26日,大阪桐蔭高 - 立命館大 - ホンダ鈴鹿,2017年ドラフト8位
https://npb.jp/bis/players/93395153.html,矢野　雅哉,内野手,右投左打,171cm／72kg,1998年12月16日,育英高 - 亜細亜大,2020年ドラフト6位
https://npb.jp/bis/players/23125150.html,安竹　俊喜,捕手,右投右打,178cm／82kg,2001年4月17日,静岡高 - 静岡大,2024年育成選手ドラフト3位
https://npb.jp/bis/players/43045159.html,Ｍ．ラミレス,内野手,右投右打,191cm／124kg,2002年2月1日,エヴァンヘリコミゲルリマルド高 - 米マイナー,
https://npb.jp/bis/players/63065159.html,Ｎ．ロベルト,外野手,右投右打,191cm／105kg,2000年10月27日,ソルアナノラン高 - 米マイナー,
https://npb.jp/bis/players/13515150.html,渡邉　悠斗,内野手,右投右打,182cm／100kg,2002年7月7日,堀越高 - 富士大,2024年ドラフト4位
https://npb.jp/bis/players/51155136.html,東　克樹,投手,左投左打,170cm／80kg,1995年11月29日,愛工大名電高 - 立命館大,2017年ドラフト1位
https://npb.jp/bis/players/51155151.html,東妻　純平,捕手,右投右打,174cm／83kg,2001年7月3日,智弁和歌山高,2019年ドラフト4位
https://npb.jp/bis/players/81185116.html,伊藤　光,捕手,右投右打,180cm／88kg,1989年4月23日,明徳義塾高,2007年高校生ドラフト3巡目
https://npb.jp/bis/players/11315130.html,石田　健大,投手,左投左打,180cm／85kg,1993年3月1日,広島工 - 法政大,2014年ドラフト2位
https://npb.jp/bis/players/41145151.html,伊勢　大夢,投手,右投右打,183cm／94kg,1998年3月7日,九州学院高 - 明治大,2019年ドラフト3位
https://npb.jp/bis/players/61365153.html,入江　大生,投手,右投右打,187cm／90kg,1998年8月26日,作新学院高 - 明治大,2020年ドラフト1位
https://npb.jp/bis/players/81385153.html,岩田　将貴,投手,左投左打,178cm／81kg,1998年6月16日,九州産大九州高 - 九州産業大,2020年育成選手ドラフト1位
https://npb.jp/bis/players/91195159.html,石上　泰輝,内野手,右投左打,172cm／85kg,2001年5月18日,徳島商 - 東洋大,2023年ドラフト4位
https://npb.jp/bis/players/21125159.html,石田　裕太郎,投手,右投右打,180cm／74kg,2002年1月22日,静清高 - 中央大,2023年ドラフト5位
https://npb.jp/bis/players/31335159.html,井上　絢登,外野手,右投左打,178cm／90kg,2000年2月23日,久留米商 - 福岡大 - 四国・徳島,2023年ドラフト6位
https://npb.jp/bis/players/03505159.html,Ｒ．ウィック,,右投左打,190cm／106kg,1992年11月9日,サイプレス大 - パドレス - カブス,
https://npb.jp/bis/players/51555151.html,蝦名　達夫,外野手,右投右打,185cm／93kg,1997年9月20日,青森商 - 青森大,2019年ドラフト6位
https://npb.jp/bis/players/01305138.html,大貫　晋一,投手,右投右打,181cm／76kg,1994年2月3日,桐陽高 - 日本体育大 - 新日鉄住金鹿島,2018年ドラフト3位
https://npb.jp/bis/players/73375151.html,Ｔ．オースティン,,右投右打,188cm／100kg,1991年9月6日,ヘリテージ高 - ヤンキース - ツインズ - ジャイアンツ - ブルワーズ,
https://npb.jp/bis/players/31535159.html,小笠原　蒼,内野手,右投左打,180cm／96kg,2005年10月20日,京都翔英高,2023年育成選手ドラフト3位
https://npb.jp/bis/players/01505130.html,笠谷　俊介,,左投左打,173cm／74kg,1997年3月17日,大分商,2014年ドラフト4位
https://npb.jp/bis/players/71575136.html,神里　和毅,外野手,右投左打,179cm／86kg,1994年1月17日,糸満高 - 中央大 - 日本生命,2017年ドラフト2位
https://npb.jp/bis/players/41545138.html,勝又　温史,外野手,右投左打,180cm／90kg,2000年5月22日,日大鶴ヶ丘高,2018年ドラフト4位
https://npb.jp/bis/players/51555155.html,梶原　昂希,外野手,右投左打,189cm／90kg,1999年9月19日,大分雄城台高 - 神奈川大,2021年ドラフト6位
https://npb.jp/bis/players/21525150.html,加藤　響,内野手,右投右打,180cm／85kg,2002年6月15日,東海大相模高 - 東洋大 - 四国・徳島,2024年ドラフト3位
https://npb.jp/bis/players/41545150.html,金渕　光希,投手,左投左打,184cm／90kg,2006年10月1日,八戸工大一高,2024年育成選手ドラフト3位
https://npb.jp/bis/players/81585134.html,京田　陽太,内野手,右投左打,184cm／90kg,1994年4月20日,青森山田高 - 日本大,2016年ドラフト2位
https://npb.jp/bis/players/11715134.html,京山　将弥,,右投右打,183cm／80kg,1998年7月4日,近江高,2016年ドラフト4位
https://npb.jp/bis/players/51755135.html,桑原　将志,外野手,右投右打,174cm／80kg,1993年7月21日,福知山成美高,2011年ドラフト4位
https://npb.jp/bis/players/31735134.html,九鬼　隆平,捕手,右投右打,180cm／85kg,1998年9月5日,秀岳館高,2016年ドラフト3位
