#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/71475159.html>Toumatsu Kaisei</a>,1,0,0,0,0,0,4,1.0,0,0,0,2,0,0,0,0,0,0.00,9.62,9.80,2.00,999,267,260,-9.62,0.0%,0.0%,50.0%,-50.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,21,L,W
,<a href=https://npb.jp/bis/eng/players/61465131.html>Yamada Nobuyoshi</a>,4,0,0,0,0,0,16,4.1,2,0,5,1,0,0,0,0,0,0.00,2.01,2.30,0.69,999,56,61,-2.01,0.0%,31.2%,6.2%,25.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,34,L,W
,<a href=https://npb.jp/bis/eng/players/83185150.html>Yamaguchi Reo</a>,2,0,2,0,0,0,29,4.1,12,1,2,4,0,0,0,13,13,27.00,8.47,5.49,3.69,10,235,146,18.53,3.4%,6.9%,13.8%,-6.9%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,20,R,W
,<a href=https://npb.jp/bis/eng/players/83185134.html>Yamaoka Taisuke</a>,2,0,1,0,0,0,50,11.0,13,0,10,4,0,0,1,8,4,3.27,2.89,3.60,1.55,86,80,95,0.38,0.0%,20.0%,8.0%,12.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,30,R,W
,<a href=https://npb.jp/bis/eng/players/33335134.html>Yamazaki Soichiro</a>,1,0,0,0,0,0,6,1.0,2,0,2,0,0,1,0,1,1,9.00,2.62,1.47,2.00,31,73,39,6.38,0.0%,33.3%,0.0%,33.3%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,28,R,W
,<a href=https://npb.jp/bis/eng/players/03505155.html>Yokoyama Kaede</a>,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,28,R,W
,<a href=https://npb.jp/bis/eng/players/13115138.html>Yoshida Kosei</a>,2,0,0,0,0,0,8,2.0,1,0,3,1,0,0,0,0,0,0.00,2.12,2.30,1.00,999,59,61,-2.12,0.0%,37.5%,12.5%,25.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,25,R,W
,<a href=https://npb.jp/bis/eng/players/71175155.html>Akiyama Seiun</a>,2,0,1,0,0,0,31,7.0,10,1,7,1,0,0,0,4,4,5.14,3.91,2.86,1.57,63,94,76,1.23,3.2%,22.6%,3.2%,19.4%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,23,L,E
,<a href=https://npb.jp/bis/eng/players/31135138.html>Azuma Yusuke</a>,5,1,1,0,0,0,23,5.1,5,0,6,3,1,0,0,3,2,3.38,3.06,3.50,1.50,95,74,93,0.32,0.0%,26.1%,13.0%,13.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,30,R,E
,<a href=https://npb.jp/bis/eng/players/01605152.html>Fuji Hayato</a>,1,1,0,0,0,0,9,2.0,3,0,0,1,0,0,0,0,0,0.00,5.12,5.91,2.00,999,123,157,-5.12,0.0%,0.0%,11.1%,-11.1%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,24,R,E
,<a href=https://npb.jp/bis/eng/players/61165139.html>Ishikawa Shuta</a>,2,0,1,0,0,0,42,9.2,8,1,12,5,0,0,0,6,5,4.66,4.03,3.13,1.34,69,97,83,0.63,2.4%,28.6%,11.9%,16.7%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,34,R,E
,<a href=https://npb.jp/bis/eng/players/21525116.html>Karakawa Yuki</a>,2,0,2,0,0,0,41,10.0,11,2,7,0,0,0,0,7,7,6.30,4.82,3.09,1.10,51,116,82,1.48,4.9%,17.1%,0.0%,17.1%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,36,R,E
,<a href=https://npb.jp/bis/eng/players/61765153.html>Kawamura Tokito</a>,3,1,1,0,0,0,70,15.2,19,2,9,7,0,0,1,7,6,3.45,5.47,4.51,1.66,93,132,120,-2.02,2.9%,12.9%,10.0%,2.9%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,29,R,E
,<a href=https://npb.jp/bis/eng/players/91595157.html>Kikuchi Riku</a>,4,0,0,0,0,0,25,5.1,3,0,5,2,0,1,2,4,0,0.00,3.43,3.60,0.94,999,83,95,-3.43,0.0%,20.0%,8.0%,12.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,26,R,E
,<a href=https://npb.jp/bis/eng/players/71775159.html>Kimura Yuto</a>,1,0,0,0,0,0,15,4.0,2,0,4,1,0,0,0,0,0,0.00,2.37,2.80,0.75,999,57,74,-2.37,0.0%,26.7%,6.7%,20.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,21,R,E
,<a href=https://npb.jp/bis/eng/players/73175157.html>Miyazaki Hayato</a>,1,0,0,0,0,0,7,2.0,1,0,2,0,0,0,1,0,0,0.00,1.62,1.94,0.50,999,39,52,-1.62,0.0%,28.6%,0.0%,28.6%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,26,L,E
,<a href=https://npb.jp/bis/eng/players/61865136.html>Mori Ryotaro</a>,2,1,1,0,0,0,39,9.1,8,1,12,3,0,0,0,4,4,3.86,3.41,2.49,1.18,84,82,66,0.45,2.6%,30.8%,7.7%,23.1%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,27,R,E
,<a href=https://npb.jp/bis/eng/players/13115151.html>Motomae Fumiya</a>,3,0,0,0,0,0,15,4.0,1,0,4,1,0,1,0,1,1,2.25,3.12,2.80,0.50,143,75,74,-0.87,0.0%,26.7%,6.7%,20.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,28,L,E
,<a href=https://npb.jp/bis/eng/players/51655150.html>Nagashima Kosuke</a>,3,0,0,0,0,0,22,4.2,7,1,4,3,0,0,1,5,5,9.64,6.62,4.35,2.14,33,159,115,3.02,4.5%,18.2%,13.6%,4.5%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,23,R,E
,<a href=https://npb.jp/bis/eng/players/31635153.html>Nakamori Shunsuke</a>,2,0,0,0,0,0,7,2.0,1,0,0,1,0,0,0,0,0,0.00,5.12,6.23,1.00,999,123,165,-5.12,0.0%,0.0%,14.3%,-14.3%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,24,R,E
,<a href=https://npb.jp/bis/eng/players/11615153.html>Nakamura Ryota</a>,2,0,0,0,0,0,39,9.0,12,0,6,0,0,0,1,3,3,3.00,2.29,3.26,1.33,107,55,87,0.71,0.0%,15.4%,0.0%,15.4%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,28,R,E
,<a href=https://npb.jp/bis/eng/players/01205118.html>Nishino Yuji</a>,1,0,0,0,0,0,18,5.0,3,0,5,1,0,0,0,0,0,0.00,2.22,2.58,0.80,999,53,68,-2.22,0.0%,27.8%,5.6%,22.2%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,35,R,E
,<a href=https://npb.jp/bis/eng/players/51555130.html>Ono Fumiya</a>,2,0,0,0,0,0,8,2.0,4,0,0,0,0,0,0,0,0,0.00,3.62,4.80,2.00,999,87,127,-3.62,0.0%,0.0%,0.0%,0.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,29,R,E
,<a href=https://npb.jp/bis/eng/players/41945150.html>Sakai Haru</a>,3,0,0,0,0,0,15,3.0,3,0,2,3,0,0,0,2,2,6.00,5.29,5.47,2.00,54,127,145,0.71,0.0%,13.3%,20.0%,-6.7%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,20,R,E
,<a href=https://npb.jp/bis/eng/players/41745138.html>Sakamoto Koshiro</a>,4,1,0,0,0,0,18,5.0,2,0,3,3,0,1,0,0,0,0.00,4.82,4.80,1.00,999,116,127,-4.82,0.0%,16.7%,16.7%,0.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,31,L,E
,<a href=https://npb.jp/bis/eng/players/11215152.html>Takahashi Kaishu</a>,4,0,0,1,0,0,18,4.0,2,0,1,3,0,0,0,1,0,0.00,5.37,5.91,1.25,999,129,157,-5.37,0.0%,5.6%,16.7%,-11.1%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,20,R,E
,<a href=https://npb.jp/bis/eng/players/23325155.html>Yagi Akira</a>,4,0,0,0,0,0,43,9.2,11,0,9,2,0,0,0,3,3,2.79,2.38,3.17,1.34,116,57,84,0.41,0.0%,20.9%,4.7%,16.3%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,29,R,E
,<a href=https://npb.jp/bis/eng/players/01805159.html>Fujiwara Haruto</a>,2,1,0,0,0,0,44,11.0,8,0,10,2,0,0,2,3,3,2.45,2.35,2.98,0.91,123,61,79,0.10,0.0%,22.7%,4.5%,18.2%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,20,R,W
,<a href=https://npb.jp/bis/eng/players/01005137.html>Higashihama Nao</a>,2,2,0,0,0,0,51,11.0,16,0,6,3,0,0,0,6,6,4.91,3.35,4.21,1.73,61,86,112,1.56,0.0%,11.8%,5.9%,5.9%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,36,R,W
,<a href=https://npb.jp/bis/eng/players/23525152.html>Hsu Jo-Hsi</a>,1,1,0,0,0,0,19,5.0,3,0,3,1,0,0,0,1,1,1.80,3.02,3.75,0.80,167,78,99,-1.22,0.0%,15.8%,5.3%,10.5%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,25,R,W
,<a href=https://npb.jp/bis/eng/players/91395153.html>Itoh Yusuke</a>,1,0,0,1,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.62,-0.20,0.00,999,16,-5,-0.62,0.0%,50.0%,0.0%,50.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,29,R,W
,<a href=https://npb.jp/bis/eng/players/81585138.html>Kamichatani Taiga</a>,1,1,0,0,0,0,24,7.0,1,0,5,1,0,1,0,0,0,0.00,3.05,3.13,0.29,999,79,83,-3.05,0.0%,20.8%,4.2%,16.7%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,29,R,W
,<a href=https://npb.jp/bis/eng/players/71775155.html>Kimura Taisei</a>,3,1,0,0,0,0,14,3.1,1,0,0,4,0,0,0,1,1,2.70,7.22,7.66,1.50,112,186,203,-4.52,0.0%,0.0%,28.6%,-28.6%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,22,L,W
,<a href=https://npb.jp/bis/eng/players/71875157.html>Maeda Jun</a>,1,0,1,0,0,0,19,4.2,5,1,6,0,0,0,1,3,1,1.93,3.84,1.64,1.07,156,99,44,-1.91,5.3%,31.6%,0.0%,31.6%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,26,L,W
,<a href=https://npb.jp/bis/eng/players/13115159.html>Maeda Yugo</a>,2,0,0,1,0,0,24,6.0,5,0,8,0,0,0,0,1,1,1.50,0.95,1.47,0.83,201,25,39,0.55,0.0%,33.3%,0.0%,33.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,20,L,W
,<a href=https://npb.jp/bis/eng/players/61465159.html>Nagamizu Keishin</a>,1,0,1,0,1,0,20,5.0,5,0,2,2,0,0,1,2,2,3.60,4.02,4.80,1.40,84,104,127,-0.42,0.0%,10.0%,10.0%,0.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,20,L,W
,<a href=https://npb.jp/bis/eng/players/01205138.html>Nakamura Toshiya</a>,1,0,0,0,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.62,-0.20,0.00,999,16,-5,-0.62,0.0%,50.0%,0.0%,50.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,29,L,W
,<a href=https://npb.jp/bis/eng/players/61365136.html>Ogata Shuto</a>,2,1,1,0,0,0,50,11.2,10,0,10,5,0,0,0,4,2,1.54,3.19,3.80,1.29,196,82,101,-1.65,0.0%,20.0%,10.0%,10.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,27,R,W
,<a href=https://npb.jp/bis/eng/players/71375134.html>Ohe Ryusei</a>,2,0,0,0,0,0,12,2.0,3,0,2,2,0,0,0,1,0,0.00,4.62,4.80,2.50,999,119,127,-4.62,0.0%,16.7%,16.7%,0.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,27,L,W
,<a href=https://npb.jp/bis/eng/players/21325157.html>Ohno Kazuo</a>,1,1,0,0,0,0,25,6.2,3,0,4,3,0,0,0,0,0,0.00,3.77,4.40,0.90,999,97,117,-3.77,0.0%,16.0%,12.0%,4.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,21,L,W
,<a href=https://npb.jp/bis/eng/players/21325155.html>Ohtake Fuga</a>,2,0,0,0,0,0,7,2.0,1,0,1,0,0,0,0,0,0,0.00,2.62,3.37,0.50,999,68,89,-2.62,0.0%,14.3%,0.0%,14.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,26,R,W
,<a href=https://npb.jp/bis/eng/players/01305157.html>Ohtsu Ryosuke</a>,2,1,0,0,0,0,33,8.1,7,1,7,3,0,0,0,3,3,3.24,4.58,3.59,1.20,93,118,95,-1.34,3.0%,21.2%,9.1%,12.1%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,27,R,W
,<a href=https://npb.jp/bis/eng/players/11515159.html>Ohyama Ryo</a>,1,0,0,0,0,0,8,2.0,1,0,2,1,0,0,0,0,0,0.00,3.12,3.55,1.00,999,80,94,-3.12,0.0%,25.0%,12.5%,12.5%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/01505151.html>Ohzeki Tomohisa</a>,1,0,0,0,0,0,13,4.0,1,0,3,0,0,0,1,0,0,0.00,2.12,2.49,0.25,999,55,66,-2.12,0.0%,23.1%,0.0%,23.1%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,28,L,W
,<a href=https://npb.jp/bis/eng/players/71575150.html>Okada Koichiro</a>,1,0,0,0,0,0,6,1.2,2,0,1,0,0,0,0,0,0,0.00,2.42,3.13,1.20,999,62,83,-2.42,0.0%,16.7%,0.0%,16.7%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/83285155.html>Rodriguez Luis</a>,3,0,1,0,0,0,8,1.2,3,0,3,0,0,0,0,1,1,5.40,0.02,1.05,1.80,56,1,28,5.38,0.0%,37.5%,0.0%,37.5%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/21025152.html>Suzuki Gota</a>,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,93,127,-3.62,0.0%,0.0%,0.0%,0.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,22,R,W
,<a href=https://npb.jp/bis/eng/players/81285151.html>Tsumori Yuki</a>,2,0,0,1,0,0,11,3.0,0,0,4,1,0,1,0,0,0,0.00,2.95,2.07,0.33,999,76,55,-2.95,0.0%,36.4%,9.1%,27.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,28,R,W
,<a href=https://npb.jp/bis/eng/players/63565150.html>Zhang Jun-Wei</a>,3,0,0,0,0,0,24,6.1,4,0,6,0,0,1,0,0,0,0.00,2.20,2.30,0.63,999,57,61,-2.20,0.0%,25.0%,0.0%,25.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,20,R,W
,<a href=https://npb.jp/bis/eng/players/11515150.html>Ehara Masahiro</a>,3,0,0,0,0,0,11,3.0,1,0,2,1,0,0,0,0,0,0.00,3.29,3.89,0.67,999,85,103,-3.29,0.0%,18.2%,9.1%,9.1%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,25,R,E
,<a href=https://npb.jp/bis/eng/players/71875153.html>Fujii Masaru</a>,3,2,1,0,0,0,61,16.0,13,0,9,4,0,0,0,2,2,1.13,3.25,3.98,1.06,265,84,106,-2.12,0.0%,14.8%,6.6%,8.2%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,29,L,E
,<a href=https://npb.jp/bis/eng/players/31835153.html>Hayakawa Takahisa</a>,2,1,1,0,1,0,52,14.1,9,0,15,1,0,0,0,3,1,0.63,1.74,2.11,0.70,476,45,56,-1.11,0.0%,28.8%,1.9%,26.9%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,27,L,E
,<a href=https://npb.jp/bis/eng/players/01605157.html>Hayashi Yuki</a>,4,0,0,0,0,0,14,3.2,4,1,2,0,0,0,0,3,3,7.36,6.08,3.37,1.09,41,157,89,1.28,7.1%,14.3%,0.0%,14.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,24,L,E
,<a href=https://npb.jp/bis/eng/players/01605159.html>Hinata Naoki</a>,5,1,0,3,0,0,21,5.0,2,0,7,3,0,1,0,0,0,0.00,3.22,2.90,1.00,999,83,77,-3.22,0.0%,33.3%,14.3%,19.0%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,20,R,E
,<a href=https://npb.jp/bis/eng/players/11315152.html>Itoh Taisei</a>,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,42,39,-1.62,0.0%,33.3%,0.0%,33.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,18,L,E
,<a href=https://npb.jp/bis/eng/players/31335152.html>Itoh Tatsuki</a>,2,0,0,0,0,0,46,10.0,10,0,6,6,0,1,0,3,3,2.70,4.52,4.80,1.60,111,117,127,-1.82,0.0%,13.0%,13.0%,0.0%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,22,R,E
,<a href=https://npb.jp/bis/eng/players/91795114.html>Kishi Takayuki</a>,2,0,0,0,0,0,24,6.0,4,0,3,2,0,0,0,0,0,0.00,3.62,4.38,1.00,999,94,116,-3.62,0.0%,12.5%,8.3%,4.2%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,41,R,E
,<a href=https://npb.jp/bis/eng/players/31735157.html>Koga Kosei</a>,2,0,0,0,0,0,41,9.0,10,2,11,4,0,0,0,7,7,7.00,5.40,3.09,1.56,43,140,82,1.60,4.9%,26.8%,9.8%,17.1%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,21,L,E
,<a href=https://npb.jp/bis/eng/players/21725159.html>Koja Tatsuki</a>,1,1,0,0,0,0,20,5.0,2,0,3,2,0,0,0,1,0,0.00,3.62,4.30,0.80,999,94,114,-3.62,0.0%,15.0%,10.0%,5.0%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,24,L,E
,<a href=https://npb.jp/bis/eng/players/21725139.html>Konno Ryuta</a>,4,0,0,0,0,0,17,4.0,6,0,4,1,0,0,0,1,0,0.00,2.37,3.04,1.75,999,61,81,-2.37,0.0%,23.5%,5.9%,17.6%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,31,R,E
,<a href=https://npb.jp/bis/eng/players/51655114.html>Maeda Kenta</a>,1,0,1,0,0,0,14,2.1,6,0,2,1,0,0,0,6,6,23.14,3.19,4.09,3.00,13,83,108,19.95,0.0%,14.3%,7.1%,7.1%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,38,R,E
,<a href=https://npb.jp/bis/eng/players/73175159.html>Matsuda Takuma</a>,2,0,1,0,0,0,17,4.0,4,0,2,1,0,0,0,2,2,4.50,3.37,4.21,1.25,67,87,112,1.13,0.0%,11.8%,5.9%,5.9%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,24,R,E
,<a href=https://npb.jp/bis/eng/players/31635150.html>Nakagomi Haruto</a>,4,0,1,0,0,0,14,3.2,2,0,4,0,0,0,0,1,0,0.00,1.44,1.94,0.55,999,37,52,-1.44,0.0%,28.6%,0.0%,28.6%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,24,R,E
,<a href=https://npb.jp/bis/eng/players/11415152.html>Nakazawa Takuma</a>,3,1,0,1,0,0,10,2.2,2,1,2,0,0,0,0,2,2,6.75,7.00,2.80,0.75,44,181,74,-0.25,10.0%,20.0%,0.0%,20.0%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,22,R,E
,<a href=https://npb.jp/bis/eng/players/41345159.html>Ohuchi Seiya</a>,2,1,0,0,0,0,39,10.0,9,1,6,4,0,0,2,3,3,2.70,4.92,4.29,1.30,111,127,114,-2.22,2.6%,15.4%,10.3%,5.1%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,20,R,E
,<a href=https://npb.jp/bis/eng/players/11915159.html>Sakai Haruto</a>,2,0,0,0,0,0,31,8.0,2,0,8,5,0,0,0,0,0,0.00,3.50,3.83,0.88,999,91,102,-3.50,0.0%,25.8%,16.1%,9.7%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,21,R,E
,<a href=https://npb.jp/bis/eng/players/61765134.html>Sakai Tomohito</a>,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,94,127,-3.62,0.0%,0.0%,0.0%,0.0%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,33,R,E
,<a href=https://npb.jp/bis/eng/players/81985155.html>Shibata Daichi</a>,2,0,0,0,0,0,8,2.0,3,0,1,0,0,0,0,2,1,4.50,2.62,3.55,1.50,67,68,94,1.88,0.0%,12.5%,0.0%,12.5%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,28,R,E
,<a href=https://npb.jp/bis/eng/players/73575132.html>Sung Chia-Hao</a>,1,0,0,0,0,0,3,1.0,0,0,0,1,0,0,0,0,0,0.00,6.62,8.13,1.00,999,172,216,-6.62,0.0%,0.0%,33.3%,-33.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,33,R,E
,<a href=https://npb.jp/bis/eng/players/73375152.html>Urena Jose</a>,1,0,0,0,0,0,18,5.0,2,0,8,2,0,0,1,1,1,1.80,1.62,1.47,0.80,167,42,39,0.18,0.0%,44.4%,11.1%,33.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,34,R,E
,<a href=https://npb.jp/bis/eng/players/23525157.html>Watanabe Shota</a>,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,42,39,-1.62,0.0%,33.3%,0.0%,33.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,25,R,E
,<a href=https://npb.jp/bis/eng/players/51155157.html>Aoyama Minato</a>,3,0,0,0,0,0,20,4.0,5,2,4,3,0,0,0,5,4,9.00,10.37,4.30,2.00,35,252,114,-1.37,10.0%,20.0%,15.0%,5.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,25,R,C
,<a href=https://npb.jp/bis/eng/players/33535152.html>Gonzalez Jorge</a>,2,0,0,0,0,0,8,2.0,0,0,2,2,0,0,1,1,1,4.50,4.62,4.80,1.00,71,112,127,-0.12,0.0%,25.0%,25.0%,0.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,23,R,C
,<a href=https://npb.jp/bis/eng/players/51655155.html>Hada Shinnosuke</a>,5,0,0,1,0,0,19,5.0,1,1,5,3,0,0,0,4,4,7.20,6.02,3.75,0.80,44,146,99,1.18,5.3%,26.3%,15.8%,10.5%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,22,L,C
,<a href=https://npb.jp/bis/eng/players/61465151.html>Hamaya Shota</a>,1,0,0,0,0,0,4,1.0,1,0,1,0,0,0,0,0,0,0.00,1.62,2.30,1.00,999,39,61,-1.62,0.0%,25.0%,0.0%,25.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,27,L,C
,<a href=https://npb.jp/bis/eng/players/81585150.html>Kariu Shoma</a>,1,0,0,0,0,0,24,5.0,6,0,2,3,0,0,1,2,1,1.80,4.62,5.22,1.80,177,112,138,-2.82,0.0%,8.3%,12.5%,-4.2%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,19,R,C
,<a href=https://npb.jp/bis/eng/players/61565159.html>Kawashimo Masahiro</a>,2,1,1,0,0,0,45,10.0,12,1,7,4,0,1,0,7,7,6.30,5.02,4.13,1.60,51,122,110,1.28,2.2%,15.6%,8.9%,6.7%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,21,L,C
,<a href=https://npb.jp/bis/eng/players/23125153.html>Mameda Taishi</a>,4,0,0,0,0,0,17,5.0,1,0,3,1,0,0,0,0,0,0.00,3.02,3.62,0.40,999,73,96,-3.02,0.0%,17.6%,5.9%,11.8%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,23,R,C
,<a href=https://npb.jp/bis/eng/players/81685138.html>Matsumoto Wataru</a>,2,0,2,0,0,0,49,8.0,18,3,8,4,0,2,1,16,14,15.75,8.75,3.98,2.75,20,213,106,7.00,6.1%,16.3%,8.2%,8.2%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,29,R,C
,<a href=https://npb.jp/bis/eng/players/81885157.html>Miura Daiki</a>,3,0,0,0,0,0,17,3.0,6,0,2,3,0,0,0,5,5,15.00,5.29,5.39,3.00,21,129,143,9.71,0.0%,11.8%,17.6%,-5.9%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,26,R,C
,<a href=https://npb.jp/bis/eng/players/33335159.html>Miyazawa Taisei</a>,5,0,0,0,0,0,19,4.1,2,0,2,2,0,2,0,1,1,2.08,5.47,4.80,0.92,154,133,127,-3.39,0.0%,10.5%,10.5%,0.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,27,R,C
,<a href=https://npb.jp/bis/eng/players/71875138.html>Moriwaki Ryosuke</a>,5,0,1,0,0,0,21,4.1,2,0,5,3,1,0,0,2,0,0.00,3.39,3.85,1.15,999,82,102,-3.39,0.0%,23.8%,14.3%,9.5%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,33,R,C
